,question_en,answer_en,chapter_no,verse_list
93,What is the verse that describes the beginning and expansion of creation?,"O mankind! Fear your Lord, Who created you from a single soul, and from it created its mate, and from the pair of them scattered abroad many men and women. And fear Allah through Whom you demand your mutual rights, and do not cut the ties of kinship. Surely, Allah is ever an All-Watcher over you.",4,[1]
94,"If you fear that you will not be fair to the orphans, marry women of your choice, two, three, or four; but if you fear that you will not be just, then marry only one, or those your right hand possesses. That is more likely to make you not commit injustice.","When the verse 'And give the orphans their wealth' was revealed, they hesitated about taking care of the orphans, and among them were those who had ten or more wives, so they were not able to treat them equally. Therefore, it was revealed: 'If you fear that you will not be fair to the orphans, then marry only what is right and proper - two, three, or four; but if you fear you will not be fair, then marry only one or what your right hands possess. This is more likely to keep you from injustice.'",4,[3]
95,Which verse was revealed in response to the pre-Islamic practice of not inheriting women and children?,"For men is a share of what the parents and the nearest relatives leave, and for women is a share of what the parents and the nearest relatives leave, whether it is little or much - a determined share.",4,[7]
96,Explain these verses.,"Allah commands you concerning your children: for males, what is equivalent to the share of two females. But if they are more than two, they have two-thirds of what is left after a parent or guardian has received his portion. And for each of his parents, a sixth of the inheritance to the exclusion of his children. But if he leaves children, his inheritance is for his parents and for him. And if there are more than two, they share a third. This is an ordinance from Allah, and Allah is Knowing and Wise.",4,[11 12]
97,What is the repentance that Allah  has written for Himself to accept out of His grace? And what is the evidence?,"God has promised forgiveness to those who do evil out of ignorance, and then repent soon, for God is all-knowing and wise in His dealings with them. The proof of this is in the verse: 'Indeed, the repentance accepted by Allah is only for those who do evil in ignorance and then repent soon. For them, Allah is All-Forgiving, Most Merciful.'",4,[17]
98,What is the rejected repentance from Allah ? And what is the evidence?,"Repentance will not be accepted from those who commit sins, even if, at the time of death, they say, 'I repent now.' It will not be accepted from them, nor from those who die as disbelievers, even if they repent at the sight of the punishment in the hereafter. Allah has prepared for them a severe punishment. This is proven in the Quran: 'And repentance is not for those who commit evil deeds until, when death approaches them, they say, 'Indeed, I repent now,' nor for those who die while they are disbelievers. For them We have prepared a painful punishment.'",4,[18]
99,Who are the prohibited women for men? Please mention the evidence.,"Marriage is forbidden to you with your mothers, daughters, sisters, aunts, maternal aunts, daughters of your brothers through nursing or blood, daughters of your sisters through nursing or blood, your mothers who nursed you, sisters through nursing, your stepmothers, daughters-in-law under your care, and wives of your sons who are from your loins. It is also forbidden to marry two sisters together, except for what has already happened in the past. Allah is Forgiving and Merciful. Also forbidden to you are married women, except those whom your right hands possess. This is Allah's decree for you. Lawful for you are those who are not in marital ties and those who have no marital ties, provided that you seek them with your wealth in a legal manner. But do not commit illegal sexual acts. And whoever seeks a contract marriage for such time with a woman, there is no blame on him. And remember, Allah is All-Knowing and All-Wise.",4,[23 24]
100,What is the limit of the nation that has committed the sin of fornication after marriage?,"If you cannot afford to marry a believing woman, you may marry a believing slave girl from among those whom your right hands possess. Allah knows best about your faith, so beware of them and treat them kindly. If any of them commit a clear indecency, they shall be punished with half of the punishment for free women. This is for those among you who fear falling into sin. But it is better for you to be patient.",4,[25]
101,"Allah, the Exalted, has promised the believers that He will forgive their minor sins if they avoid major ones, such as associating partners with Him, disobeying parents, and taking innocent lives unjustly, among others. Can you mention the verse that indicates this?","If you avoid the major sins which you are forbidden from, we will forgive your minor sins and admit you to an honorable entrance.",4,[31]
102,"What is the verse that was revealed when Umm Salamah  said, 'Would that we were men so that we could fight and earn the like of the reward of men?'","And do not wish for that which Allah has given to some of you over others. For men is a share of what they have earned, and for women is a share of what they have earned. Ask Allah of His bounty, indeed Allah is ever Knowing of all things.",4,[32]
